"","fecha","ref_asylum_US","US_mig_stock","MEX_mig_stock","total_entradas","visitante_permiso_trabajo","total.ocupada.jov","PIB_pc","FBCF","migracion_interna"
"1",2005 Q3,-0.255641542790357,-1.96503162166242,0.817588576672054,-0.497183321619782,0.139457783639002,0.0822729772802101,-1.99399880330991,0.95430965114864,0.752235238341052
"2",2005 Q4,-0.315760613429019,-1.90062887795605,0.85155361062755,-0.494373013252648,0.139457783639002,-0.256681591755181,-1.87776335226085,1.00040617050755,0.753446766175689
"3",2006 Q1,-0.373792557695065,-1.83584441317724,0.886045770727972,-0.491562704885513,0.139457783639002,-0.771225240407142,-1.75887324699025,1.04816442886867,0.754660560198081
"4",2006 Q2,-0.429809833403444,-1.77067596482955,0.921073237798371,-0.488752396518379,0.139457783639002,-0.420848359996328,-1.63726785892937,1.09764433046249,0.755876624665763
"5",2006 Q3,-0.48388238288417,-1.7051212570065,0.956644319625863,-0.485942088151245,0.139457783639002,0.439308103143222,-1.51288517483819,0.372726261029619,0.757094963844806
"6",2006 Q4,-0.536077720311269,-1.63917800031222,0.992767452932823,-0.431195020265631,0.139457783639002,0.21617102919221,-1.461373246064,0.384617531854263,0.749391881546751
"7",2007 Q1,-0.586461015999956,-1.57284389178124,1.02945120537641,-0.376447952380017,0.139457783639002,-0.159159963113947,-1.40938497630756,0.396711637411787,0.741881329864125
"8",2007 Q2,-0.635095177777323,-1.50611661479824,1.06670427758088,-0.321700884494403,0.139457783639002,-0.362202381428834,-1.35691596074971,0.409012037545077,0.734556325878209
"9",2007 Q3,-0.682040929528099,-1.43899383901713,1.10453550520222,-0.266953816608789,0.139457783639002,0.340232974744414,-1.30396175383904,0.918832247329778,0.727410220737712
"10",2007 Q4,-0.727356887013587,-1.3714732202796,1.14295386102136,-0.27481141887971,0.139457783639002,1.38007485107182,-1.23952699427397,0.954177048493053,0.730306303350168
"11",2008 Q1,-0.771099631058421,-1.3035524005333,1.181968457075,-0.282669021150632,0.139457783639002,0.112718847090484,-1.17437385750799,0.990526690464665,0.733216084057425
"12",2008 Q2,-0.813323778196536,-1.23522900774957,1.22158854681514,-0.290526623421554,0.139457783639002,0.297909645384129,-1.10849433441981,1.0279097405308,0.736139642180724
"13",2008 Q3,-0.854082048864559,-1.1665006558404,1.26182352730428,-0.298384225692475,0.139457783639002,0.718240347334672,-1.04188032659523,-1.01258909612042,0.739077057608727
"14",2008 Q4,-0.89342533322774,-1.09736494457527,1.30268294144528,-0.43556746767688,0.139457783639002,0.103645863418619,-1.07916703963779,-1.00290788976877,0.763793266665586
"15",2009 Q1,-0.931402754720664,-1.02781945949727,1.34417648024191,-0.572750709661285,0.139457783639002,-0.668805999372294,-1.11622362977502,-0.993362876162874,0.790100902006634
"16",2009 Q2,-0.968061731382026,-0.957861771838743,1.38631398510039,-0.709933951645691,0.139457783639002,-0.383362683389891,-1.15305151725953,-0.983952139378126,0.81815837545164
"17",2009 Q3,-1.00344803506009,-0.887489438436543,1.42910545016201,-0.847117193630096,0.139457783639002,0.949425640205184,-1.18965211357855,0.104898485897098,0.848145843638167
"18",2009 Q4,-1.03760584856271,-0.816700001646599,1.47256102467344,-0.802052728452447,0.139457783639002,1.63820655114081,-1.11691358480637,0.108885602545862,0.840585039924337
"19",2010 Q1,-1.07057782082336,-0.745490989258295,1.51669101539581,-0.756988263274798,0.139457783639002,0.347842398118355,-1.04327734769728,0.112909749221102,0.833195173146234
"20",2010 Q2,-1.10240512015193,-0.673859914407855,1.56150588904555,-0.711923798097149,0.139457783639002,1.18730460922412,-0.968732323112445,0.116971269836237,0.825970660924675
"21",2010 Q3,-1.13312748563684,-0.601804275491679,-0.944895433749355,-0.6668593329195,0.139457783639002,1.88880786554282,-0.893267295178969,1.20004840432654,0.818906161762105
"22",2010 Q4,-1.10158343841496,-0.548758541247914,-0.943949526072083,-0.676577494896471,0.139457783639002,0.749073229365254,-0.765900075939019,1.24849907330258,0.822668924715081
"23",2011 Q1,-1.06887456319287,-0.495482711455483,-0.943001518216301,-0.686295656873442,0.139457783639002,-0.0627857439427803,-0.635912181081605,1.29848961759567,0.826453469819623
"24",2011 Q2,-1.03495784633125,-0.441975788032971,-0.942051405519461,-0.696013818850412,0.139457783639002,0.75079298085127,-0.5032496882495,1.35006897803633,0.830259959643468
"25",2011 Q3,-0.99978868582479,-0.388236768569602,-0.941099183307127,-0.705731980827383,0.139457783639002,1.36317713441049,-0.367857565592757,0.729857366793678,0.834088558302677
"26",2011 Q4,-0.963320832648571,-0.334264646306462,-0.940144846896642,-0.68301056080005,0.139457783639002,2.03930656135549,-0.300547455590476,0.750303744908737,0.831407791884143
"27",2012 Q1,-0.925506329938501,-0.280058410117677,-0.939188391593551,-0.660289140772716,0.139457783639002,0.637063171406016,-0.232562697085004,0.771146660554545,0.828760345541212
"28",2012 Q2,-0.886295449925902,-0.225617044491301,-0.938229812693337,-0.637567720745383,0.139457783639002,1.67526978483071,-0.163896528081686,0.792393804188845,0.826145688862038
"29",2012 Q3,-0.845636628543252,-0.170939529510553,-0.937269105480997,-0.61484630071805,0.139457783639002,2.15047173348166,-0.0945421188105138,-1.0055662657957,0.823563302852907
"30",2012 Q4,-0.803476397615125,-0.116024840834528,-0.93630626523112,-0.589440394097591,0.786326467814982,1.12519732417922,-0.0701433111636684,-0.997662179242909,0.820494728295471
"31",2013 Q1,-0.759759314545138,-0.0608719496790629,-0.935341287208086,-0.564034487477132,1.43319515199096,0.00305266595846312,-0.0456593251848052,-0.989849810374408,0.817466727542371
"32",2013 Q2,-0.714427889406456,-0.00547982279744669,-0.934374166664393,-0.538628580856672,2.08006383616694,0.815238691847039,-0.0210898635090577,-0.982128094913652,0.814478591742388
"33",2013 Q3,-0.667422509339943,0.0501525775389223,-0.933404898844127,-0.513222674236213,2.72693252034292,1.04161358634542,0.00356537226657254,0.228420083256974,0.811529628696176
"34",2013 Q4,-0.618681360160587,0.10602629355998,-0.932433478979353,-0.397124259662041,2.30580897484306,0.963148221397086,0.0751817016398169,0.233875168033094,0.792130104781983
"35",2014 Q1,-0.568140345069066,0.162142372016535,-0.931459902291974,-0.28102584508787,1.8846854293432,-0.058978306817639,0.1475217366661,0.239384081733411,0.773721551798199
"36",2014 Q2,-0.515733000361586,0.218501864199809,-0.930484163993205,-0.164927430513698,1.46356188384333,-0.0208330741737759,0.220592790619905,0.244947355523478,0.756230224105103
"37",2014 Q3,-0.461390408027117,0.27510582596134,-0.929506259284036,-0.048829015939526,1.04243833834347,0.588054342211822,0.294402250678627,1.02955647393438,0.739589517075092
"38",2014 Q4,-0.405041105117124,0.331955317732474,-0.928526183353382,0.0858206389562779,1.13984106315296,-0.242667388678963,0.32228888360283,1.06101810899938,0.721016010564658
"39",2015 Q1,-0.346610989768575,0.389051404544413,-0.927543931381547,0.220470293852082,1.23724378796245,-1.06026340933734,0.350280922053573,1.09321080983014,0.703433577425325
"40",2015 Q2,-0.286023223756669,0.446395156048132,-0.926559498536806,0.355119948747886,1.33464651277195,-0.648329782392204,0.378378764441272,1.12615156401052,0.686765233226136
"41",2015 Q3,-0.223198131449117,0.503987646534408,0.308352335748037,0.48976960364369,1.43204923758144,0.193299152059651,0.406582810682249,1.01174329886118,0.670941766398619
"42",2015 Q4,-0.155390633599369,0.537152306550601,0.322411130159262,0.653060322333024,1.12838191905773,0.485427967875964,0.512023778533333,1.0396927638423,0.652483784990202
"43",2016 Q1,-0.0849768712168423,0.570399449336142,0.336587623723574,0.816351041022358,0.824714600534018,-1.19764729667028,0.618949096003537,1.06822687419101,0.635093860347834
"44",2016 Q2,-0.0118566693204404,0.603729280031394,0.350882801809357,0.979641759711692,0.521047282010307,-0.672746982967824,0.727379659086487,1.0973578594872,0.618682167125977
"45",2016 Q3,0.0640739974194623,0.637142004286776,0.365297658034319,1.14293247840103,0.217379963486596,0.144862664881405,0.837336657940023,-0.317985657431355,0.60316867868504
"46",2016 Q4,0.142923152673913,0.67063782826417,0.379833194334766,1.28166378298323,0.0535142029247446,-0.546251221128754,0.880715453451121,-0.317985063675326,0.590840991828936
"47",2017 Q1,0.22480297213654,0.704216958638348,0.39449042103503,1.42039508756543,-0.110351557637107,-1.64663870642897,0.924331816861285,-0.317984469864341,0.579062204445861
"48",2017 Q2,0.309829943111662,0.737879602597944,0.409270356917773,1.55912639214764,-0.274217318198958,-1.11956076762774,0.968187049232599,-0.31798387599843,0.567796649046614
"49",2017 Q3,0.39812503023632,0.771625967846888,0.424174029295056,1.69785769672984,-0.43808307876081,-0.63185723408558,1.01228245875253,0.139139877232406,0.557011683411331
"50",2017 Q4,0.489813847572076,0.805456262605829,0.439202474079192,1.78726916144436,-0.456990666517947,-0.761323723531238,1.05332929914091,0.142235321838844,0.550742865349686
"51",2018 Q1,0.585026837311372,0.839370695613128,0.454356735855404,1.87668062615889,-0.475898254275083,-1.7140578704695,1.0945842550113,0.145351437127326,0.544643595187895
"52",2018 Q2,0.683899455352653,0.873369476126296,0.469637867953832,1.96609209087341,-0.49480584203222,-0.623307534542582,1.13604838154974,0.148488361131619,0.53870720162005
"53",2018 Q3,0.786572364008328,0.907452813923422,0.485046932523114,2.05550355558794,-0.513713429789357,-0.399371907207414,1.17772273929229,-1.51145092278516,0.532927359137715
"54",2018 Q4,0.893191632119711,0.941620919304139,0.500585000604232,2.08728578920528,-0.702216350155962,-0.659149771931797,1.1564156265217,-1.49168514020724,0.531681795370281
"55",2019 Q1,1.00390894286357,0.975874003091298,0.516253152204602,2.11906802282262,-0.890719270522567,-0.857188285764394,1.13516346892108,-1.4722484822004,0.53045029347082
"56",2019 Q2,1.11888180954604,1.01021227663194,0.532052476373669,2.15085025643996,-1.07922219088917,-0.00128078073371625,1.11396612475045,-1.45313546843605,0.529232667832353
"57",2019 Q3,1.23827379969079,1.04463595179874,0.547984071277968,2.1826324900573,-1.26772511125578,0.585489704892739,1.09282345263535,-2.55326661592864,0.528028736219276
"58",2019 Q4,1.36225476774036,1.07914524099145,0.56404904427819,1.13153514797086,-1.35023094874147,0.0777323972870209,0.970045536015483,-2.47873943777064,0.622300781414756
"59",2020 Q1,1.49100109670153,1.11374035713795,0.58024851200544,0.0804378058844209,-1.43273678622715,-0.734355512827393,0.849111302061386,-2.40670424874155,0.756815082479353
"60",2020 Q2,1.62469594907881,1.14842151369566,0.596583600439275,-0.970659536202021,-1.51524262371284,-1.84108100459469,0.729993065291302,-2.33707772340298,0.964327333453743
"61",2020 Q3,1.76352952745273,1.18318892465306,-1.37092652941795,-2.02175687828846,-1.59774846119853,-2.94780649636199,0.612663555959785,-0.324404451368793,1.32637903733267
"62",2020 Q4,1.76352952745273,1.18318892465306,-1.37092652941795,-1.62142602423577,-1.55363075643188,-1.7450215735323,0.753282050413965,-0.324404451368793,1.16426373111029
"63",2021 Q1,1.76352952745273,1.18318892465306,-1.37092652941795,-1.22109517018308,-1.50951305166522,-2.33027126465923,0.896469843275426,-0.324404451368793,1.0379746227214
"64",2021 Q2,1.76352952745273,1.18318892465306,-1.37092652941795,-0.820764316130391,-1.46539534689857,-0.498035494442373,1.0422738792532,-0.324404451368793,0.936818856291953
"65",2021 Q3,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,0.615864713310563,1.19074196080245,-0.324404451368793,0.853973792389696
"66",2021 Q4,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,0.342824866445208,1.19074196080245,-0.324404451368793,0.855902094397429
"67",2022 Q1,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,-0.669332008939333,1.19074196080245,-0.324404451368793,0.857834750576992
"68",2022 Q2,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,-0.0285079080638243,1.19074196080245,-0.324404451368793,0.859771770760257
"69",2022 Q3,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,0.356610132715047,1.19074196080245,-0.324404451368793,0.861713164801294
"70",2022 Q4,1.76352952745273,1.18318892465306,-1.37092652941795,-0.420433462077701,-1.42127764213192,0.335204541318584,1.19074196080245,-0.324404451368793,0.863658942576425
